date,difficulty,course,score
2025-11-01,練習,高級,10160
2025-11-02,練習,高級,10540
2025-11-03,練習,高級,9780 
2025-11-04,練習,高級,9400 
2025-11-05,練習,高級,10160
2025-11-06,練習,高級,10540
2025-11-07,練習,高級,8520 
2025-11-08,練習,高級,9780 
2025-11-09,練習,高級,10920
2025-11-10,練習,高級,9780 
2025-11-11,練習,高級,9780 
2025-11-12,練習,高級,9020 
2025-11-13,練習,高級,10160
2025-11-14,練習,高級,10540
2025-11-15,練習,高級,9020 
2025-11-16,練習,高級,9780 
2025-11-17,練習,高級,10160
2025-11-18,練習,高級,9780 
2025-11-19,練習,高級,9020 
2025-11-20,練習,高級,9400 
2025-11-21,練習,高級,9400 
2025-11-22,練習,高級,10160
2025-11-23,練習,高級,9400 
